98a a57 6e0
99b 5e6 280
19d af4 c91
ad3 03d b10
23a 6c6 900
b58 c6e ac5
32e c13 240
c5c b5b ab6
08b 8a2 92d
26a 079 2e3
76f 995 403
b27 807 62d
31e 08d 3ab
550 49d 9ed
c0b 9d0 8da
40d 9d0 0dc
a43 c39 97b
929 3a4 ccd
b39 3a6 1de
b0c 106 c12
489 4ae 937
5ef 1a0 78f
a23 1e6 c09
cf4 141 134
492 45b 8ed
684 7e0 163
b71 913 783
b0a 136 c40
b35 012 b47
455 489 8de
912 2b1 bc3
410 93c 04b
c77 a54 9ca
2bc a37 cf3
ba0 ca2 b41
cef bfb be9
cd6 47e 453
bf8 3b9 2b0
38c 21b 5a7
237 193 3ca
31a 9e7 000
415 b42 256
1c3 935 af8
949 6a2 2ea
4bb 5f8 ab3
6ee cfc 6e9
4e7 3b9 8a0
b52 871 6c2
39a 236 5d0
70a 1b7 8c1
16f b13 c82
a4b 4f8 242
ac8 55b 322
567 cd7 53d
baa 5e1 48a
5c1 243 804
903 692 294
541 bf9 439
0d4 9c2 a96
6f2 2ed 9df
2b7 503 7ba
51b 35e 879
a69 a46 7ae
4e0 c7f 45e
199 b38 cd1
4f7 894 08a
9bb cfa 9b4
779 1aa 923
100 ce3 0e2
302 581 883
bfe 1fa 0f7
75a 251 9ab
03a a77 ab1
394 c8b 31e
884 77a 2fd
821 53c 05c
9ff 84c 54a
8f1 cac 89c
920 748 367
a2c a8d 7b8
313 12f 442
9c1 a14 6d4
22f 87f aae
11b 11f 23a
055 bab c00
2d9 7a9 a82
bb7 893 749
2ee b5c 149
a75 243 cb8
be3 47d 35f
3b3 493 846
0a4 408 4ac
32c 9e4 00f
a8a 3f2 17b
a4b abb 805
066 4d4 53a
0a3 c8f 031
a12 137 b49
5bf c64 522
b6f 096 c05
05a 670 6ca
1ea 234 41e
b3f 2f5 133
517 a0c 222
811 6b4 1c4
acf 139 c08
21b 94d b68
8c4 080 944
13b b67 ca2
527 981 1a7
1fa 392 58c
ade 27b 058
861 232 a93
208 932 b3a
862 155 9b7
44d 571 9be
970 2ca c3a
819 02e 847
884 303 b87
303 4f2 7f5
234 1f3 427
43c 273 6af
1fa a22 c1c
0f6 b17 c0d
c39 759 691
5af 6a6 c55
467 81f c86
686 417 a9d
644 bf1 534
510 07e 58e
ba8 b4e 9f5
36e 496 804
cee 379 366
6d9 b19 4f1
b90 504 393
407 bc0 2c6
149 5d3 71c
991 a0c 69c
813 9c9 4db
3d7 a20 0f6
0ae c9c 049
755 4dc c31
a89 263 cec
ad8 3ed 1c4
405 17d 582
39d b0c 1a8
744 b50 593
3b4 1e8 59c
c94 81e 7b1
380 2e2 662
ce7 af3 ad9
626 220 846
237 a0f c46
abb 0f4 baf
a4f a64 7b2
4f7 334 82b
328 cec 313
adb cd2 aac
89b 632 1cc
789 36a af3
572 137 6a9
9ff 52b 229
93a 87a 4b3
41a 3d8 7f2
84f 369 bb8
63e 0cf 70d
102 59f 6a1
6a8 07c 724
a87 ba4 92a
05a 204 25e
450 43c 88c
170 ca2 111
68a 81a 1a3
b11 9a4 7b4
2b2 31d 5cf
227 6d7 8fe
3a7 811 bb8
008 9cd 9d5
0ea 135 21f
73a 890 2c9
7c2 b26 5e7
56c 1e4 750
540 9e2 221
45e 53c 99a
559 1ee 747
b5d 954 7b0
28c 93c bc8
76a 4d1 c3b
b3e c25 a62
2dd 413 6f0
4ae 6e9 b97
2d1 bc5 195
bed 301 1ed
01f 3e1 400
650 2d0 920
bf7 af6 9ec
c47 4ed 433
a89 995 71d
b9e 3a5 242
bea 695 57e
ad4 334 107
cec 4d0 4bb
3b6 658 a0e
cbc 803 7be
8e5 421 005
4c3 49b 95e
130 265 395
4dd 96a 146
b63 673 4d5
702 04d 74f
088 b04 b8c
c88 339 2c0
aa2 57c 31d
969 7ce 436
c4b 374 2be
cb2 b4f b00
458 0b4 50c
620 084 6a4
4b5 a20 1d4
3df bc7 2a5
5ac 7e1 08c
494 639 acd
a51 9de 72e
233 99d bd0
7bd 670 12c
b7c 794 60f
29d 44f 6ec
9cc 649 314
868 c51 7b8
537 b95 3cb
9c1 b3b 7fb
5ff c8a 588
b5f 45e 2bc
7a3 c11 6b3
97b 97f 5f9
623 77c 09e
722 0ca 7ec
1ee 369 557
1fa 769 963
8cf a0b 5d9
a7b 94d 6c7
006 8f5 8fb
88c 235 ac1
b7f ae1 95f
a92 12e bc0
174 b8d 000
155 002 157
02e 288 2b6
9a4 162 b06
2af af3 0a1
6f2 07f 771
61a 82a 143
8cd 34a c17
533 2a4 7d7
7c1 283 a44
2ac 7e5 a91
ae0 25e 03d
965 b3a 79e
c3e 193 0d0
c61 464 3c4
c0c 7df 6ea
abc 7e5 5a0
6d1 62d cfe
399 72d ac6
84d 362 baf
274 225 499
b15 13e c53
b8b 68c 516
9f3 a3c 72e
ac7 901 6c7
140 152 292
149 033 17c
8e3 cfe 8e0
08f 420 4af
aae 906 6b3
7fc 366 b62
3eb b28 212
4d1 419 8ea
8df 2da bb9
2d1 752 a23
7ef 338 b27
829 981 4a9
c7d bcc b48
90e b33 740
a5a 544 29d
61a 999 2b2
68a 1e7 871
4c1 aa4 264
495 87b 00f
756 0a5 7fb
c37 016 c4d
351 88b bdc
280 994 c14
68c 7a3 12e
253 cee 240
01a 48d 4a7
28f 790 a1f
133 7c3 8f6
5a3 a50 2f2
7b7 403 bba
87e 5f2 16f
5d1 2a1 872
22e cbb 1e8
85c 7b1 30c
5f2 afd 3ee
3f8 006 3fe
ccb 360 32a
9f9 9e5 6dd
ac6 bd6 99b
3ba b96 24f
14d 4be 60b
1c6 b4c 011
a70 9a4 713
250 226 476
a58 ac4 81b
589 182 70b
2a3 88c b2f
8a2 4ec 08d
aa7 31d 0c3
a0e 7fa 507
b6b 0a2 c0d
877 022 899
690 2e6 976
1e2 408 5ea
0ed 69a 787
323 8fa c1d
873 cbc 82e
7cb 6ae 178
adf 936 714
25b 0e1 33c
596 5aa b40
